id,title,rating,published_date,duration,views,comments,year
0,The life code that will reshape the future,04-04-2007,"[{'Ingenious': 1189, 'Funny': 1036, 'Beautiful': 264, 'Courageous': 505, 'Informative': 3760, 'Inspiring': 1886, 'Fascinating': 4454, 'Jaw_dropping': 2610, 'Persuasive': 2595, 'Confusing': 172, 'Longwinded': 213, 'Unconvincing': 465, 'OK': 436, 'Obnoxious': 194}]",22,690928,49,2007
1,Using biology to rethink the energy challenge,14-11-2007,16819,18,898974,115,2007
2,The next species of human,17-02-2009,,18,2954577,448,2009
3,Will our kids be a different species?,04-06-2012,,16,1878242,456,2012
4,"Your online life, permanent as a tattoo",02-05-2013,,5,1567528,146,2013
5,We can reprogram life. How to do it wisely,20-04-2016,,14,1973225,77,2016
6,What will humans look like in 100 years?,22-11-2016,,15,2595890,93,2016
