id,title,rating,published_date,duration,views,comments,year
0,Institutions vs. collaboration,10-07-2008,"[{'Ingenious': 577, 'Funny': 175, 'Beautiful': 105, 'Courageous': 542, 'Informative': 3455, 'Inspiring': 1949, 'Fascinating': 1442, 'Jaw_dropping': 552, 'Persuasive': 2748, 'Confusing': 84, 'Longwinded': 117, 'Unconvincing': 124, 'OK': 344, 'Obnoxious': 56}]",20,1097533,64,2008
1,How social media can make history,15-06-2009,10820,15,1677738,344,2009
2,How cognitive surplus will change the world,28-06-2010,,13,954924,294,2010
3,Why SOPA is a bad idea,18-01-2012,,13,1275141,689,2012
4,How the Internet will (one day) transform government,25-09-2012,,18,1245095,202,2012
