State,Hans Rosling,Juan Enriquez,Rives,Marco Tempest,Clay Shirky
Confusing,222,172,253,114,84
Longwinded,221,213,79,150,117
Unconvincing,328,465,319,424,124
OK,761,436,736,808,344
Obnoxious,169,194,218,190,56
