id,title,rating,published_date,duration,views,comments,year
0,If I controlled the Internet,13-12-2006,"[{'Ingenious': 2022, 'Funny': 5073, 'Beautiful': 1798, 'Courageous': 140, 'Informative': 371, 'Inspiring': 923, 'Fascinating': 1571, 'Jaw_dropping': 560, 'Persuasive': 152, 'Confusing': 253, 'Longwinded': 179, 'Unconvincing': 319, 'OK': 736, 'Obnoxious': 218}]",4,1813665,95,2006
1,A mockingbird remix of TED2006,09-04-2007,10905,4,643078,58,2007
2,The  4 a.m. mystery,17-07-2007,,9,3387765,276,2007
3,A story of mixed emoticons,27-10-2008,,3,1594241,87,2008
4,Reinventing the encyclopedia game,26-06-2012,,10,722536,87,2012
5,The Museum of Four in the Morning,16-05-2014,,14,1827375,170,2014
